,Unnamed: 0,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
0,0,Adams,42001,103009,2020-10-17,8.0,1.04889864100215,0.8313084026689771,1.28739218938649
67,0,Adams,42001,103009,2020-10-18,8.714285714285714,1.12807951380485,0.903215345091575,1.37361357098034
134,0,Adams,42001,103009,2020-10-19,11.142857142857142,1.3840972411029395,1.13829559915655,1.64980617353955
201,0,Adams,42001,103009,2020-10-20,12.142857142857142,1.33509892780584,1.1074420711829098,1.58039633313837
268,0,Adams,42001,103009,2020-10-21,11.142857142857142,1.11177831739568,0.914337756298618,1.32520944134327
335,0,Adams,42001,103009,2020-10-22,11.714285714285715,1.15017569669382,0.950687167879518,1.36541033316921
402,0,Adams,42001,103009,2020-10-23,13.0,1.23622385476025,1.03213590377621,1.45558129002578
469,0,Adams,42001,103009,2020-10-24,12.142857142857142,1.0834540264697,0.89870686442463,1.28251677452155
536,0,Adams,42001,103009,2020-10-25,12.571428571428573,1.10978840862568,0.923636137899975,1.31011024598147
603,0,Adams,42001,103009,2020-10-26,11.857142857142858,1.02612629066591,0.8491708734561701,1.21696242981704
670,0,Adams,42001,103009,2020-10-27,12.571428571428573,1.09378555267481,0.910317548562622,1.29121880200597
737,0,Adams,42001,103009,2020-10-28,14.0,1.19188931597063,1.0019313187335,1.3955288228921798
804,0,Adams,42001,103009,2020-10-29,14.285714285714285,1.14927348503821,0.967860608747645,1.34361759743622
871,0,Adams,42001,103009,2020-10-30,13.714285714285715,1.06153351425575,0.8906832505939609,1.2448200533350902
938,0,Adams,42001,103009,2020-10-31,15.571428571428573,1.1966094382386898,1.01532920011857,1.39025247931914
1005,0,Adams,42001,103009,2020-11-01,14.285714285714285,1.03970561562526,0.8755880329249509,1.21552161386627
1072,0,Adams,42001,103009,2020-11-02,13.571428571428573,0.988306632539824,0.8284479930434839,1.1598642059579598
1139,0,Adams,42001,103009,2020-11-03,15.857142857142858,1.17475260110457,0.998322312177032,1.36310325200445
1206,0,Adams,42001,103009,2020-11-04,14.571428571428573,1.02498351742042,0.864708876417917,1.19656710723229
1273,0,Adams,42001,103009,2020-11-05,15.428571428571427,1.08595283632852,0.920711036926264,1.26251706719403
1340,0,Adams,42001,103009,2020-11-06,18.571428571428573,1.28000969486062,1.10177765689699,1.4693471184424098
1407,0,Adams,42001,103009,2020-11-07,19.857142857142858,1.25305825681734,1.08409855373207,1.4321909004107902
1474,0,Adams,42001,103009,2020-11-08,22.428571428571423,1.31315467211076,1.14617153890712,1.48958453079438
1541,0,Adams,42001,103009,2020-11-09,23.285714285714285,1.24658274338372,1.09090612756008,1.41089918982319
1608,0,Adams,42001,103009,2020-11-10,21.857142857142854,1.09723965685314,0.955966644485693,1.24661107235034
1675,0,Adams,42001,103009,2020-11-11,24.714285714285715,1.22563994871534,1.07691556314355,1.3823709668201205
1742,0,Adams,42001,103009,2020-11-12,25.57142857142857,1.19479907294427,1.05218609981943,1.34495711357418
1809,0,Adams,42001,103009,2020-11-13,25.714285714285715,1.14206642688605,1.00611434003419,1.28519074479422
1876,0,Adams,42001,103009,2020-11-14,23.285714285714285,1.00324543827259,0.8779574415473659,1.13548674050343
1943,0,Adams,42001,103009,2020-11-15,21.714285714285715,0.952370186473497,0.829361636548733,1.08245382650508
2010,0,Adams,42001,103009,2020-11-16,22.714285714285715,1.02785225677739,0.8979438839819899,1.16506251607007
2077,0,Adams,42001,103009,2020-11-17,24.285714285714285,1.09544118034867,0.961387884650989,1.23677607591403
2144,0,Adams,42001,103009,2020-11-18,25.57142857142857,1.1200690889554,0.986375996536498,1.2608353345746102
2211,0,Adams,42001,103009,2020-11-19,25.714285714285715,1.08695132516409,0.95756016412158,1.22316859182315
2278,0,Adams,42001,103009,2020-11-20,24.0,0.993374207495698,0.8711146604263291,1.12231501497201
2345,0,Adams,42001,103009,2020-11-21,26.42857142857143,1.1075629774558602,0.977453612420723,1.24444096777871
2412,0,Adams,42001,103009,2020-11-22,38.57142857142857,1.56531261444083,1.41226205906578,1.7249294065316298
1,1,Allegheny,42003,1216045,2020-10-17,110.85714285714286,1.2055334233282,1.13528927087698,1.27754157962847
68,1,Allegheny,42003,1216045,2020-10-18,113.57142857142857,1.16116876539179,1.0943116994958,1.22968436495208
135,1,Allegheny,42003,1216045,2020-10-19,116.0,1.13596079950268,1.07123393681339,1.20227626538219
202,1,Allegheny,42003,1216045,2020-10-20,120.14285714285714,1.13800480452896,1.07427401229607,1.20327224913565
269,1,Allegheny,42003,1216045,2020-10-21,123.28571428571428,1.12789545149717,1.06553031144338,1.19174481551963
336,1,Allegheny,42003,1216045,2020-10-22,122.42857142857143,1.08502972155034,1.02482792408679,1.14666931906442
403,1,Allegheny,42003,1216045,2020-10-23,123.71428571428572,1.07789740679354,1.01839877708714,1.1388095591166
470,1,Allegheny,42003,1216045,2020-10-24,122.71428571428572,1.05244010985836,0.994113624381917,1.11215796698894
537,1,Allegheny,42003,1216045,2020-10-25,121.0,1.02907218243868,0.9716435898213448,1.08788050411428
604,1,Allegheny,42003,1216045,2020-10-26,117.28571428571428,0.996052178221619,0.9396049496663392,1.05387710221335
671,1,Allegheny,42003,1216045,2020-10-27,117.71428571428572,1.00829319903961,0.9512549503884952,1.06672100333021
