county_name,fips,population,dailycases_p100k_7d_avg,R_mean,R_low,Rhigh,inf_potential_p100k,incid_prediction
Adams,42001,103009,12.204,1.1394,0.9483,1.3451,11.524,16.830
Allegheny,42003,1216045,9.680,1.0119,0.9547,1.0705,9.794,9.475
Armstrong,42005,64735,22.730,1.5798,1.3340,1.8430,16.597,54.479
Beaver,42007,163929,8.105,0.9806,0.8204,1.1527,8.438,7.148
Bedford,42009,47888,14.916,1.1532,0.9011,1.4311,13.673,17.952
Berks,42011,421164,23.642,1.2309,1.1553,1.3085,21.035,34.498
Blair,42013,121829,18.058,1.1160,0.9727,1.2674,16.951,22.160
Bradford,42015,60323,47.127,1.3218,1.1719,1.4792,38.918,71.037
Bucks,42017,628270,10.028,1.3782,1.2721,1.4877,8.861,16.985
Butler,42019,187853,16.959,1.3590,1.2131,1.5117,14.334,27.074
Cambria,42021,130192,17.556,1.1992,1.0481,1.3587,15.941,24.337
Cameron,42023,4447,3.212,10.0000,1.7768,23.7193,0.000,3724.404
Carbon,42025,64182,7.345,1.1090,0.8157,1.4392,6.796,9.172
Centre,42027,162385,31.055,1.2590,1.1510,1.3710,28.777,42.150
Chester,42029,524989,9.197,1.2839,1.1714,1.4007,7.654,15.247
Clarion,42031,38438,12.636,1.4229,1.0517,1.8402,11.038,24.413
Clearfield,42033,79255,11.176,1.6453,1.3198,2.0005,8.730,26.343
Clinton,42035,38632,7.026,1.3865,0.9189,1.9328,6.107,13.230
Columbia,42037,64964,5.717,1.0601,0.7483,1.4165,5.646,6.256
Crawford,42039,84629,15.361,1.6291,1.3602,1.9182,12.022,35.076
Cumberland,42041,253370,5.018,0.5538,0.4614,0.6532,7.086,3.180
Dauphin,42043,278299,15.246,1.2830,1.1633,1.4077,13.105,23.508
Delaware,42045,566747,17.166,1.3236,1.2413,1.4080,14.858,28.497
Elk,42047,29910,21.015,1.2793,0.9826,1.6083,19.349,28.741
Erie,42049,269728,8.209,1.4241,1.2419,1.6167,6.500,15.626
Fayette,42051,129274,7.736,1.1766,0.9567,1.4153,7.534,9.457
Forest,42053,7247,1.971,1.4846,0.2638,3.5215,2.315,11.534
Franklin,42055,155027,13.638,1.4715,1.2790,1.6753,10.152,27.620
Fulton,42057,14530,15.731,3.8006,2.4217,5.4330,6.229,313.735
Greene,42059,36233,5.914,1.4276,0.8955,2.0609,4.630,13.479
Huntingdon,42061,45144,65.505,1.3018,1.1570,1.4537,51.253,95.538
Indiana,42063,84073,20.560,1.2677,1.0850,1.4622,20.050,28.917
Jefferson,42065,43425,12.172,2.2664,1.6974,2.9031,9.442,61.841
Juniata,42067,24763,10.384,1.4968,0.9801,2.1027,8.055,20.907
Lackawanna,42069,209674,23.574,1.0517,0.9605,1.1462,23.134,24.618
Lancaster,42071,545724,12.042,1.2107,1.1194,1.3049,10.921,16.729
Lawrence,42073,85512,20.716,1.2018,1.0306,1.3839,19.711,27.514
Lebanon,42075,141793,32.139,1.2792,1.1639,1.3990,27.548,50.266
Lehigh,42077,369318,14.506,1.7156,1.5727,1.8637,11.311,36.828
Luzerne,42079,317417,22.143,1.3731,1.2730,1.4764,18.863,36.870
Lycoming,42081,113299,8.700,1.2308,0.9992,1.4824,7.724,12.419
McKean,42083,40625,10.901,1.4400,1.0484,1.8827,9.580,22.618
Mercer,42085,109424,15.405,1.3863,1.1841,1.6017,13.235,27.250
Mifflin,42087,46138,17.649,1.2667,1.0061,1.5521,16.099,25.308
Monroe,42089,170271,6.125,1.2270,1.0022,1.4707,5.568,8.820
Montgomery,42091,830915,9.680,1.5049,1.4022,1.6106,7.874,19.928
Montour,42093,18230,14.889,0.7361,0.4878,1.0261,18.614,9.139
Northampton,42095,305285,11.839,1.1845,1.0649,1.3093,10.903,15.743
Northumberland,42097,90843,26.105,1.6088,1.4096,1.8189,22.909,55.669
Perry,42099,46272,9.262,0.7298,0.5284,0.9579,11.310,5.853
Philadelphia,42101,1584064,20.481,1.3355,1.2898,1.3819,16.877,36.421
Pike,42103,55809,2.048,1.3086,0.6827,2.0987,1.468,4.635
Potter,42105,16526,6.916,1.5133,0.7895,2.4271,6.417,18.242
Schuylkill,42107,141359,32.238,1.3536,1.2316,1.4805,28.407,54.365
Snyder,42109,40372,10.969,1.2389,0.9020,1.6197,9.332,17.030
Somerset,42111,73447,15.755,1.5063,1.2435,1.7900,13.384,33.799
Sullivan,42113,6066,7.065,2.1874,0.7472,4.2400,6.081,50.911
Susquehanna,42115,40328,9.210,0.9619,0.6790,1.2853,9.679,9.127
Tioga,42117,40591,17.597,1.3412,1.0479,1.6643,16.338,29.861
Union,42119,44923,16.854,1.3432,1.0573,1.6573,15.886,26.915
Venango,42121,50668,14.097,1.1130,0.8696,1.3811,13.810,16.916
Warren,42123,39191,1.823,1.4086,0.6135,2.4681,1.323,3.858
Washington,42125,206865,16.988,1.4540,1.3052,1.6094,13.538,32.333
Wayne,42127,51361,0.556,0.3153,0.0859,0.6616,1.631,0.215
Westmoreland,42129,348899,22.725,0.9380,0.8735,1.0044,23.192,19.466
Wyoming,42131,26794,13.329,2.0082,1.4072,2.6969,6.965,52.834
York,42133,449058,13.807,1.0768,0.9933,1.1631,13.020,16.407
