,FIPS,Admin2,Province_State,Date,Confirmed,diff,7_day_avg,Daily Deaths
0,42001,Adams,Pennsylvania,1/22/2020,0,0,0,0
69,42001,Adams,Pennsylvania,1/23/2020,0,0,0,0
138,42001,Adams,Pennsylvania,1/24/2020,0,0,0,0
207,42001,Adams,Pennsylvania,1/25/2020,0,0,0,0
276,42001,Adams,Pennsylvania,1/26/2020,0,0,0,0
345,42001,Adams,Pennsylvania,1/27/2020,0,0,0,0
414,42001,Adams,Pennsylvania,1/28/2020,0,0,0,0
483,42001,Adams,Pennsylvania,1/29/2020,0,0,0,0
552,42001,Adams,Pennsylvania,1/30/2020,0,0,0,0
621,42001,Adams,Pennsylvania,1/31/2020,0,0,0,0
690,42001,Adams,Pennsylvania,2/1/2020,0,0,0,0
759,42001,Adams,Pennsylvania,2/2/2020,0,0,0,0
828,42001,Adams,Pennsylvania,2/3/2020,0,0,0,0
897,42001,Adams,Pennsylvania,2/4/2020,0,0,0,0
966,42001,Adams,Pennsylvania,2/5/2020,0,0,0,0
1035,42001,Adams,Pennsylvania,2/6/2020,0,0,0,0
1104,42001,Adams,Pennsylvania,2/7/2020,0,0,0,0
1173,42001,Adams,Pennsylvania,2/8/2020,0,0,0,0
1242,42001,Adams,Pennsylvania,2/9/2020,0,0,0,0
1311,42001,Adams,Pennsylvania,2/10/2020,0,0,0,0
1380,42001,Adams,Pennsylvania,2/11/2020,0,0,0,0
1449,42001,Adams,Pennsylvania,2/12/2020,0,0,0,0
1518,42001,Adams,Pennsylvania,2/13/2020,0,0,0,0
1587,42001,Adams,Pennsylvania,2/14/2020,0,0,0,0
1656,42001,Adams,Pennsylvania,2/15/2020,0,0,0,0
1725,42001,Adams,Pennsylvania,2/16/2020,0,0,0,0
1794,42001,Adams,Pennsylvania,2/17/2020,0,0,0,0
1863,42001,Adams,Pennsylvania,2/18/2020,0,0,0,0
1932,42001,Adams,Pennsylvania,2/19/2020,0,0,0,0
2001,42001,Adams,Pennsylvania,2/20/2020,0,0,0,0
2070,42001,Adams,Pennsylvania,2/21/2020,0,0,0,0
2139,42001,Adams,Pennsylvania,2/22/2020,0,0,0,0
2208,42001,Adams,Pennsylvania,2/23/2020,0,0,0,0
