,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
36,Adams,42001,103009,2020-11-22,38.57142857142857,1.56531261444083,1.41226205906578,1.7249294065316298
73,Allegheny,42003,1216045,2020-11-22,524.4285714285714,1.16825982067219,1.13673032707686,1.2001510587387
110,Armstrong,42005,64735,2020-11-22,43.28571428571429,1.06332650390321,0.9650410714279659,1.16558831042947
147,Beaver,42007,163929,2020-11-22,66.28571428571429,1.1963223750166398,1.10655485939906,1.28901482588268
184,Bedford,42009,47888,2020-11-22,37.57142857142857,0.991400762206496,0.893217398225337,1.09385314194181
221,Berks,42011,421164,2020-11-22,168.28571428571428,1.06240634979715,1.012030421445,1.11380681706296
258,Blair,42013,121829,2020-11-22,119.71428571428572,1.19522529986224,1.1281719482740902,1.26389833937324
295,Bradford,42015,60323,2020-11-22,44.42857142857143,1.07851543683709,0.9800857419509781,1.18087490896641
332,Bucks,42017,628270,2020-11-22,296.57142857142856,1.14416807118477,1.1031884857601202,1.1857740015151799
369,Butler,42019,187853,2020-11-22,105.28571428571428,1.1309672614706898,1.06337180886498,1.20030505591044
406,Cambria,42021,130192,2020-11-22,146.14285714285714,1.29628336861694,1.23037963819044,1.3636263899478602
443,Cameron,42023,4447,2020-11-22,0.42857142857142855,2.1819286369377897,0.7453023092608451,4.22948130481901
480,Carbon,42025,64182,2020-11-22,24.0,1.05578250866896,0.925842058897226,1.19282396611765
517,Centre,42027,162385,2020-11-22,85.14285714285714,1.16851941277753,1.0909837931864301,1.24828035901615
554,Chester,42029,524989,2020-11-22,154.0,1.0915229010404301,1.0374465746791701,1.14674939509759
591,Clarion,42031,38438,2020-11-22,29.142857142857146,1.0518601627839101,0.9340074098679579,1.17554549813875
628,Clearfield,42033,79255,2020-11-22,52.14285714285714,1.26676151656812,1.15985093562868,1.3776068830851698
665,Clinton,42035,38632,2020-11-22,18.428571428571427,1.30622253492099,1.1236654796111498,1.5001995378400201
702,Columbia,42037,64964,2020-11-22,20.285714285714285,1.3430421406552602,1.1637987091700601,1.53296038870036
739,Crawford,42039,84629,2020-11-22,61.57142857142857,1.1349109941308502,1.0466145024062499,1.2261942104269399
776,Cumberland,42041,253370,2020-11-22,122.14285714285714,1.27100133135638,1.2003997556941102,1.3432910775869
813,Dauphin,42043,278299,2020-11-22,123.0,1.27142784583536,1.2010458007378702,1.3434868741942299
850,Delaware,42045,566747,2020-11-22,258.42857142857144,1.0696420391141999,1.0286258768786198,1.1113301227010401
887,Elk,42047,29910,2020-11-22,12.285714285714285,1.06371605022484,0.8833367751291109,1.2579886672351002
924,Erie,42049,269728,2020-11-22,145.71428571428572,1.1272979019083502,1.06990228298803,1.18594886114751
961,Fayette,42051,129274,2020-11-22,46.28571428571429,1.22217926020254,1.11284604070201,1.33578762352217
998,Forest,42053,7247,2020-11-22,4.285714285714286,1.67947392513266,1.2159668484003898,2.2044724679126
1035,Franklin,42055,155027,2020-11-22,106.14285714285714,1.3455762577693,1.26547475569742,1.4277340070679099
1072,Fulton,42057,14530,2020-11-22,8.571428571428571,1.2452356279340902,0.99509398483864,1.51856752556718
1109,Greene,42059,36233,2020-11-22,19.571428571428573,1.01259514419052,0.8751047589160641,1.1584253669103002
1146,Huntingdon,42061,45144,2020-11-22,26.142857142857146,1.09093697921071,0.9621051871155859,1.2265082367001299
1183,Indiana,42063,84073,2020-11-22,56.57142857142857,1.09430007210425,1.00555648924915,1.18617736087453
1220,Jefferson,42065,43425,2020-11-22,20.857142857142858,1.06137832633217,0.9216062825777628,1.20935698762224
1257,Juniata,42067,24763,2020-11-22,26.714285714285715,1.33128342986527,1.17570425983564,1.49491191655337
1294,Lackawanna,42069,209674,2020-11-22,52.28571428571429,1.1965909870209501,1.09573763177559,1.30115103966514
1331,Lancaster,42071,545724,2020-11-22,288.2857142857143,1.2420745991925901,1.19695892528698,1.2878897465864398
1368,Lawrence,42073,85512,2020-11-22,41.714285714285715,1.01310761191656,0.9177597007716808,1.11238630747467
1405,Lebanon,42075,141793,2020-11-22,95.28571428571428,1.37678428171368,1.29035123339868,1.46556061868922
