,FIPS,Admin2,Province_State,Date,Confirmed,Daily Confirmed,7_day_avg,Deaths,Daily Deaths
0,42001.0,Adams,Pennsylvania,2020-01-22,0,0.0,0.0,0,0.0
69,42001.0,Adams,Pennsylvania,2020-01-23,0,0.0,0.0,0,0.0
138,42001.0,Adams,Pennsylvania,2020-01-24,0,0.0,0.0,0,0.0
207,42001.0,Adams,Pennsylvania,2020-01-25,0,0.0,0.0,0,0.0
276,42001.0,Adams,Pennsylvania,2020-01-26,0,0.0,0.0,0,0.0
345,42001.0,Adams,Pennsylvania,2020-01-27,0,0.0,0.0,0,0.0
414,42001.0,Adams,Pennsylvania,2020-01-28,0,0.0,0.0,0,0.0
483,42001.0,Adams,Pennsylvania,2020-01-29,0,0.0,0.0,0,0.0
552,42001.0,Adams,Pennsylvania,2020-01-30,0,0.0,0.0,0,0.0
621,42001.0,Adams,Pennsylvania,2020-01-31,0,0.0,0.0,0,0.0
690,42001.0,Adams,Pennsylvania,2020-02-01,0,0.0,0.0,0,0.0
759,42001.0,Adams,Pennsylvania,2020-02-02,0,0.0,0.0,0,0.0
828,42001.0,Adams,Pennsylvania,2020-02-03,0,0.0,0.0,0,0.0
897,42001.0,Adams,Pennsylvania,2020-02-04,0,0.0,0.0,0,0.0
966,42001.0,Adams,Pennsylvania,2020-02-05,0,0.0,0.0,0,0.0
1035,42001.0,Adams,Pennsylvania,2020-02-06,0,0.0,0.0,0,0.0
1104,42001.0,Adams,Pennsylvania,2020-02-07,0,0.0,0.0,0,0.0
1173,42001.0,Adams,Pennsylvania,2020-02-08,0,0.0,0.0,0,0.0
1242,42001.0,Adams,Pennsylvania,2020-02-09,0,0.0,0.0,0,0.0
1311,42001.0,Adams,Pennsylvania,2020-02-10,0,0.0,0.0,0,0.0
1380,42001.0,Adams,Pennsylvania,2020-02-11,0,0.0,0.0,0,0.0
1449,42001.0,Adams,Pennsylvania,2020-02-12,0,0.0,0.0,0,0.0
1518,42001.0,Adams,Pennsylvania,2020-02-13,0,0.0,0.0,0,0.0
1587,42001.0,Adams,Pennsylvania,2020-02-14,0,0.0,0.0,0,0.0
1656,42001.0,Adams,Pennsylvania,2020-02-15,0,0.0,0.0,0,0.0
1725,42001.0,Adams,Pennsylvania,2020-02-16,0,0.0,0.0,0,0.0
1794,42001.0,Adams,Pennsylvania,2020-02-17,0,0.0,0.0,0,0.0
1863,42001.0,Adams,Pennsylvania,2020-02-18,0,0.0,0.0,0,0.0
1932,42001.0,Adams,Pennsylvania,2020-02-19,0,0.0,0.0,0,0.0
2001,42001.0,Adams,Pennsylvania,2020-02-20,0,0.0,0.0,0,0.0
2070,42001.0,Adams,Pennsylvania,2020-02-21,0,0.0,0.0,0,0.0
2139,42001.0,Adams,Pennsylvania,2020-02-22,0,0.0,0.0,0,0.0
2208,42001.0,Adams,Pennsylvania,2020-02-23,0,0.0,0.0,0,0.0
2277,42001.0,Adams,Pennsylvania,2020-02-24,0,0.0,0.0,0,0.0
2346,42001.0,Adams,Pennsylvania,2020-02-25,0,0.0,0.0,0,0.0
2415,42001.0,Adams,Pennsylvania,2020-02-26,0,0.0,0.0,0,0.0
2484,42001.0,Adams,Pennsylvania,2020-02-27,0,0.0,0.0,0,0.0
2553,42001.0,Adams,Pennsylvania,2020-02-28,0,0.0,0.0,0,0.0
2622,42001.0,Adams,Pennsylvania,2020-02-29,0,0.0,0.0,0,0.0
2691,42001.0,Adams,Pennsylvania,2020-03-01,0,0.0,0.0,0,0.0
2760,42001.0,Adams,Pennsylvania,2020-03-02,0,0.0,0.0,0,0.0
2829,42001.0,Adams,Pennsylvania,2020-03-03,0,0.0,0.0,0,0.0
2898,42001.0,Adams,Pennsylvania,2020-03-04,0,0.0,0.0,0,0.0
2967,42001.0,Adams,Pennsylvania,2020-03-05,0,0.0,0.0,0,0.0
3036,42001.0,Adams,Pennsylvania,2020-03-06,0,0.0,0.0,0,0.0
3105,42001.0,Adams,Pennsylvania,2020-03-07,0,0.0,0.0,0,0.0
3174,42001.0,Adams,Pennsylvania,2020-03-08,0,0.0,0.0,0,0.0
3243,42001.0,Adams,Pennsylvania,2020-03-09,0,0.0,0.0,0,0.0
3312,42001.0,Adams,Pennsylvania,2020-03-10,0,0.0,0.0,0,0.0
3381,42001.0,Adams,Pennsylvania,2020-03-11,0,0.0,0.0,0,0.0
3450,42001.0,Adams,Pennsylvania,2020-03-12,0,0.0,0.0,0,0.0
3519,42001.0,Adams,Pennsylvania,2020-03-13,0,0.0,0.0,0,0.0
3588,42001.0,Adams,Pennsylvania,2020-03-14,0,0.0,0.0,0,0.0
3657,42001.0,Adams,Pennsylvania,2020-03-15,0,0.0,0.0,0,0.0
3726,42001.0,Adams,Pennsylvania,2020-03-16,0,0.0,0.0,0,0.0
3795,42001.0,Adams,Pennsylvania,2020-03-17,0,0.0,0.0,0,0.0
3864,42001.0,Adams,Pennsylvania,2020-03-18,0,0.0,0.0,0,0.0
3933,42001.0,Adams,Pennsylvania,2020-03-19,0,0.0,0.0,0,0.0
4002,42001.0,Adams,Pennsylvania,2020-03-20,4,4.0,0.5714285714285714,0,0.0
4071,42001.0,Adams,Pennsylvania,2020-03-21,4,0.0,0.5714285714285714,0,0.0
4140,42001.0,Adams,Pennsylvania,2020-03-22,5,1.0,0.7142857142857143,0,0.0
4209,42001.0,Adams,Pennsylvania,2020-03-23,6,1.0,0.8571428571428571,0,0.0
4278,42001.0,Adams,Pennsylvania,2020-03-24,6,0.0,0.8571428571428571,0,0.0
4347,42001.0,Adams,Pennsylvania,2020-03-25,6,0.0,0.8571428571428571,0,0.0
4416,42001.0,Adams,Pennsylvania,2020-03-26,7,1.0,1.0,0,0.0
4485,42001.0,Adams,Pennsylvania,2020-03-27,8,1.0,0.5714285714285714,0,0.0
4554,42001.0,Adams,Pennsylvania,2020-03-28,8,0.0,0.5714285714285714,0,0.0
4623,42001.0,Adams,Pennsylvania,2020-03-29,8,0.0,0.42857142857142855,0,0.0
4692,42001.0,Adams,Pennsylvania,2020-03-30,8,0.0,0.2857142857142857,0,0.0
4761,42001.0,Adams,Pennsylvania,2020-03-31,9,1.0,0.42857142857142855,0,0.0
4830,42001.0,Adams,Pennsylvania,2020-04-01,12,3.0,0.8571428571428571,0,0.0
4899,42001.0,Adams,Pennsylvania,2020-04-02,18,6.0,1.5714285714285714,0,0.0
4968,42001.0,Adams,Pennsylvania,2020-04-03,19,1.0,1.5714285714285714,0,0.0
5037,42001.0,Adams,Pennsylvania,2020-04-04,21,2.0,1.8571428571428572,0,0.0
5106,42001.0,Adams,Pennsylvania,2020-04-05,22,1.0,2.0,0,0.0
5175,42001.0,Adams,Pennsylvania,2020-04-06,25,3.0,2.4285714285714284,0,0.0
5244,42001.0,Adams,Pennsylvania,2020-04-07,28,3.0,2.7142857142857144,0,0.0
5313,42001.0,Adams,Pennsylvania,2020-04-08,33,5.0,3.0,0,0.0
5382,42001.0,Adams,Pennsylvania,2020-04-09,38,5.0,2.857142857142857,1,1.0
